Timestamp,C_Gaze,Env,C_Movement,
0.000000,robot,person,stationary,
0.041667,robot,person,stationary,
0.083333,robot,person,stationary,
0.125000,robot,person,stationary,
0.166667,robot,person,stationary,
0.208333,robot,person,stationary,
0.250000,robot,person,stationary,
0.291667,robot,person,stationary,
0.333333,robot,person,stationary,
0.375000,robot,person,stationary,
0.416667,robot,person,stationary,
0.458333,robot,person,stationary,
0.500000,robot,person,stationary,
0.541667,robot,person,stationary,
0.583333,robot,person,stationary,
0.625000,robot,person,stationary,
0.666667,robot,person,stationary,
0.708333,robot,person,stationary,
0.750000,robot,person,stationary,
0.791667,robot,person,stationary,
0.833333,robot,person,stationary,
0.875000,robot,person,stationary,
0.916667,robot,person,stationary,
0.958333,robot,person,stationary,
1.000000,robot,person,stationary,
1.041667,robot,person,stationary,
1.083333,robot,person,stationary,
1.125000,robot,person,stationary,
1.166667,robot,person,stationary,
1.208333,robot,person,stationary,
1.250000,robot,person,stationary,
1.291667,robot,person,stationary,
1.333333,robot,person,stationary,
1.375000,robot,person,stationary,
1.416667,robot,person,stationary,
1.458333,robot,person,stationary,
1.500000,robot,person,stationary,
1.541667,robot,person,stationary,
1.583333,robot,person,stationary,
1.625000,robot,person,stationary,
1.666667,robot,person,stationary,
1.708333,robot,person,stationary,
1.750000,robot,person,stationary,
1.791667,robot,person,stationary,
1.833333,robot,person,stationary,
1.875000,robot,person,stationary,
1.916667,robot,person,stationary,
1.958333,robot,person,stationary,
2.000000,robot,person,stationary,
2.041667,robot,person,stationary,
2.083333,robot,person,stationary,
2.125000,robot,person,stationary,
2.166667,away,person,stationary,
2.208333,away,person,stationary,
2.250000,away,person,stationary,
2.291667,away,person,stationary,
2.333333,away,person,stationary,
2.375000,away,person,stationary,
2.416667,away,person,stationary,
2.458333,away,person,stationary,
2.500000,away,person,stationary,
2.541667,away,person,stationary,
2.583333,away,person,stationary,
2.625000,away,person,stationary,
2.666667,away,person,stationary,
2.708333,away,person,stationary,
2.750000,away,person,stationary,
2.791667,away,person,stationary,
2.833333,away,person,stationary,
2.875000,away,person,stationary,
2.916667,away,person,stationary,
2.958333,away,person,stationary,
3.000000,away,person,stationary,
3.041667,away,person,stationary,
3.083333,away,person,stationary,
3.125000,away,person,stationary,
3.166667,away,person,stationary,
3.208333,away,person,stationary,
3.250000,robot,person,stationary,
3.291667,robot,person,stationary,
3.333333,robot,person,stationary,
3.375000,robot,person,stationary,
3.416667,robot,person,stationary,
3.458333,robot,person,stationary,
3.500000,robot,person,stationary,
3.541667,robot,person,stationary,
3.583333,robot,person,stationary,
3.625000,robot,person,stationary,
3.666667,robot,person,stationary,
3.708333,robot,person,stationary,
3.750000,robot,person,stationary,
3.791667,robot,person,stationary,
3.833333,robot,person,stationary,
3.875000,robot,person,stationary,
